step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
258,32,1148,32,128,35730,3,3.040256,83.017731
259,32,128,32,1148,35685,3,5.613568,24.804352
260,32,128,32,128,35769,3,3.122176,24.481792
261,32,1149,32,128,35852,3,3.076096,83.766273
262,32,128,32,1149,35812,3,5.630976,24.92416
263,32,128,32,128,35892,3,3.101696,24.527872
264,32,128,32,128,35963,3,3.085312,24.249344
265,32,1148,32,128,36037,3,3.057664,83.398659
266,32,1149,32,1148,35984,3,5.633024,85.646339
267,32,1149,32,1149,35930,3,5.641216,85.511169
268,32,128,32,1149,35872,3,5.63712,24.857599
269,32,3190,32,128,35945,3,3.109888,210.316284
270,32,1149,32,3190,35621,3,11.015168,85.92691
271,32,3191,32,1149,35568,3,5.627904,209.947647
272,32,2170,32,3191,35238,3,10.92608,150.525955
273,32,4212,32,2170,35052,3,8.448,276.731903
274,32,1149,32,4212,34624,3,13.549568,85.75898
275,32,2170,32,1149,34595,3,5.640192,150.588409
276,32,2170,32,2170,34416,3,8.450048,150.083588
277,32,1149,32,2170,34229,3,8.454144,84.745216
278,32,1149,32,1149,34185,3,5.615616,85.684227
279,32,1149,32,1149,34129,3,5.64736,85.586945
280,32,1149,32,1149,34084,3,5.634048,85.129219
281,32,1149,32,1149,34031,3,5.634048,85.08416
282,32,128,32,1149,33977,3,5.625856,24.840193
283,32,128,32,128,34066,3,3.104768,24.375296
284,32,128,32,128,34149,3,3.059712,24.114176
285,32,1149,32,128,34228,3,3.047424,82.950142
286,32,128,32,1149,34173,3,5.636096,24.974337
287,32,2169,32,128,34264,3,3.111936,149.090302
288,32,128,32,2169,34063,3,8.440832,24.842239
289,32,128,32,128,34138,3,3.11296,24.301567
290,32,128,32,128,34209,3,3.055616,24.023041
291,32,1149,32,128,34288,3,3.042304,82.893822
292,32,128,32,1149,34226,3,5.612544,24.857599
293,32,128,32,128,34309,3,3.094528,24.337408
294,32,128,32,128,34398,3,3.068928,24.056831
295,32,128,32,128,34472,3,3.04128,23.903233
296,32,128,32,128,34554,3,3.045376,23.91552
297,32,128,32,128,34630,3,3.044352,23.940096
298,32,128,32,128,34709,3,3.052544,23.962624
299,32,128,32,128,34795,3,3.047424,23.928831
300,32,128,32,128,34875,3,3.038208,23.894016
301,32,128,32,128,34955,3,3.045376,23.885824
302,32,128,32,128,35032,3,3.050496,23.908352
303,32,128,32,128,35114,3,3.0464,23.904257
304,32,128,32,128,35194,3,3.04128,23.890944
305,32,128,32,128,35277,3,3.04128,23.898111
306,32,128,32,128,35347,3,3.042304,23.91552
307,32,128,32,128,35415,3,3.050496,23.909376
308,32,128,32,128,35497,3,3.044352,23.904257
309,32,128,32,128,35588,3,3.050496,23.916544
310,32,128,32,128,35665,3,3.044352,23.942144
311,32,128,32,128,35754,3,3.053568,23.924736
312,32,128,32,128,35824,3,3.0464,23.961599
313,32,128,32,128,35906,3,3.052544,23.979008
314,32,128,32,128,35985,3,3.052544,23.951361
315,32,1149,32,128,36053,3,3.054592,83.406845
316,32,2169,32,1149,36000,3,5.62688,150.10611
317,32,128,32,2169,35815,3,8.441856,24.909824
318,32,1149,32,128,35897,3,3.125248,84.48819
319,32,3190,32,1149,35846,3,5.69856,211.445755
320,32,2169,32,3190,35547,3,11.031552,150.389755
321,32,1149,32,2169,35374,3,8.426496,84.875267
322,32,128,32,1149,35323,3,5.632,25.018368
323,32,128,32,128,35396,3,3.113984,24.721409
324,32,128,32,128,35467,3,3.08736,24.343552
325,32,2170,32,128,35553,3,3.079168,148.020218
326,32,2170,32,2170,35353,3,8.377344,149.34938
327,32,3191,32,2170,35168,3,8.387584,211.389435
328,32,2170,32,3191,34822,3,10.989568,150.681595
329,32,2170,32,2170,34611,3,8.406016,150.952957
330,32,3190,32,2170,34419,3,8.52992,212.608002
331,32,1149,32,3190,34104,3,11.030528,85.959679
332,32,128,32,1149,34050,3,5.625856,24.785919
333,32,128,32,128,34135,3,3.099648,24.367104
334,32,1149,32,128,34213,3,3.08224,83.87072
335,32,128,32,1149,34161,3,5.633024,24.978432
336,32,1149,32,128,34251,3,3.109888,84.25779
337,32,128,32,1149,34192,3,5.59104,24.761345
338,32,1149,32,128,34270,3,3.100672,83.594238
339,32,128,32,1149,34214,3,5.62176,24.808449
340,32,1149,32,128,34283,3,3.096576,84.097023
341,32,128,32,1149,34230,3,5.628928,24.916992
342,32,1149,32,128,34322,3,3.0976,84.321281
343,32,128,32,1149,34276,3,5.633024,24.869888
344,32,128,32,128,34363,3,3.106816,24.460287
345,32,1148,32,128,34451,3,3.065856,84.086784
346,32,128,32,1148,34400,3,5.64736,24.98048
347,32,128,32,128,34483,3,3.106816,24.498177
348,32,128,32,128,34557,3,3.083264,24.078337
349,32,1149,32,128,34639,3,3.045376,83.190781
350,32,128,32,1149,34596,3,5.61664,24.827904
351,32,128,32,128,34666,3,3.085312,24.426497
352,32,128,32,128,34733,3,3.070976,24.124416
353,32,128,32,128,34809,3,3.054592,24.055807
354,32,128,32,128,34883,3,3.048448,23.937023
355,32,128,32,128,34963,3,3.054592,23.894016
356,32,128,32,128,35048,3,3.045376,23.943169
357,32,128,32,128,35126,3,3.040256,23.892992
358,32,128,32,128,35195,3,3.04128,23.898111
359,32,128,32,128,35264,3,3.043328,23.9104
360,32,128,32,128,35341,3,3.047424,23.914495
361,32,128,32,128,35419,3,3.034112,23.931904
362,32,128,32,128,35498,3,3.04128,23.913471
363,32,128,32,128,35566,3,3.049472,23.921663
364,32,128,32,128,35640,3,3.0464,23.907328
365,32,128,32,128,35716,3,3.05664,23.913471
366,32,128,32,128,35798,3,3.052544,23.967745
367,32,128,32,128,35878,3,3.058688,23.94112
368,32,1149,32,128,35949,3,3.052544,83.677185
369,32,128,32,1149,35902,3,5.691392,25.111551
370,32,1149,32,128,35975,3,3.141632,84.194305
371,32,2170,32,1149,35906,3,5.641216,148.897797
372,32,2170,32,2170,35721,3,8.448,151.805954
373,32,2170,32,2170,35550,3,8.544256,150.885376
374,32,1148,32,2170,35376,3,8.441856,85.500931
375,32,128,32,1148,35334,3,5.633024,25.001984
376,32,2170,32,128,35414,3,3.115008,148.682755
377,32,2169,32,2170,35224,3,8.44288,149.137405
378,32,128,32,2169,35050,3,8.333312,24.886272
379,32,4211,32,128,35124,3,3.103744,276.37146
380,32,2170,32,4211,34686,3,13.597696,150.125565
381,32,3190,32,2170,34499,3,8.404992,213.382141
382,32,128,32,3190,34213,3,11.022336,24.871937
383,32,128,32,128,34299,3,3.096576,24.403969
384,32,128,32,128,34381,3,3.069952,24.096767
385,32,128,32,128,34452,3,3.045376,24.08448
386,32,2170,32,128,34529,3,3.054592,148.409348
387,32,1148,32,2170,34359,3,8.380416,84.654083
388,32,128,32,1148,34304,3,5.633024,24.941568
389,32,128,32,128,34403,3,3.0976,24.493055
390,32,1149,32,128,34488,3,3.078144,83.638275
391,32,1149,32,1149,34433,3,5.644288,85.336067
392,32,1149,32,1149,34379,3,5.567488,84.552704
393,32,128,32,1149,34324,3,5.594112,24.792065
394,32,1133,32,128,34399,3,3.096576,83.342339
395,32,128,32,1133,34362,3,5.599232,24.955904
396,32,128,32,128,34455,3,3.111936,24.531967
397,32,128,32,128,34527,3,3.088384,24.249344
